method;top1;top3;top5
grads;0.131;0.255;0.368
grads_x_inputs;0.090;0.224;0.334
ig_20;0.199;0.307;0.412
ig_50;0.232;0.323;0.424
ig_100;0.230;0.325;0.426
sg_20;0.105;0.228;0.349
sg_50;0.099;0.237;0.353
sg_100;0.108;0.235;0.354
sg_20_x_inputs;0.305;0.380;0.455
sg_50_x_inputs;0.315;0.396;0.463
sg_100_x_inputs;0.330;0.407;0.470
ks_100;0.310;0.352;0.427
ks_200;0.369;0.383;0.452
ks_500;0.397;0.417;0.477
relprop;0.214;0.338;0.441
random;0.047;0.187;0.332
