method;top1;top3;top5
sg_20_0.075_x_inputs;0.291;0.383;0.449
sg_50_0.075_x_inputs;0.349;0.404;0.470
sg_100_0.075_x_inputs;0.374;0.425;0.476
sg_20_0.025_x_inputs;0.273;0.351;0.420
sg_50_0.025_x_inputs;0.279;0.356;0.424
sg_100_0.025_x_inputs;0.286;0.354;0.427
sg_20_0.01_x_inputs;0.143;0.241;0.350
sg_50_0.01_x_inputs;0.149;0.242;0.355
sg_100_0.01_x_inputs;0.143;0.240;0.352
sg_20_0.075;0.101;0.215;0.342
sg_50_0.075;0.089;0.223;0.348
sg_100_0.075;0.084;0.216;0.339
sg_20_0.025;0.135;0.261;0.368
sg_50_0.025;0.140;0.260;0.368
sg_100_0.025;0.144;0.261;0.370
sg_20_0.01;0.118;0.253;0.372
sg_50_0.01;0.141;0.259;0.369
sg_100_0.01;0.130;0.254;0.367
random;0.058;0.194;0.326
