method;top1;top3;top5
sg_20_0.075_x_inputs;0.288;0.364;0.443
sg_50_0.075_x_inputs;0.317;0.383;0.454
sg_100_0.075_x_inputs;0.352;0.402;0.464
sg_20_0.025_x_inputs;0.225;0.302;0.390
sg_50_0.025_x_inputs;0.239;0.311;0.399
sg_100_0.025_x_inputs;0.227;0.311;0.395
sg_20_0.01_x_inputs;0.154;0.264;0.375
sg_50_0.01_x_inputs;0.161;0.266;0.370
sg_100_0.01_x_inputs;0.153;0.265;0.374
sg_20_0.075;0.084;0.219;0.347
sg_50_0.075;0.084;0.216;0.346
sg_100_0.075;0.085;0.225;0.344
sg_20_0.025;0.147;0.263;0.370
sg_50_0.025;0.146;0.262;0.375
sg_100_0.025;0.134;0.260;0.369
sg_20_0.01;0.132;0.257;0.371
sg_50_0.01;0.144;0.264;0.369
sg_100_0.01;0.137;0.269;0.377
random;0.059;0.190;0.320
