method;top5;top10;top15
grads;0.160;0.242;0.300
grads_x_inputs;0.159;0.238;0.305
ig_20;0.287;0.392;0.457
ig_50;0.288;0.392;0.457
ig_100;0.287;0.393;0.457
sg_20;0.166;0.243;0.297
sg_50;0.172;0.247;0.305
sg_100;0.174;0.249;0.307
sg_20_x_inputs;0.199;0.283;0.345
sg_50_x_inputs;0.205;0.291;0.356
sg_100_x_inputs;0.206;0.296;0.358
ks_100;0.099;0.172;0.236
ks_200;0.111;0.181;0.234
ks_500;0.151;0.227;0.282
random;0.056;0.121;0.181
