method;top5;top10;top15
grads;0.167;0.242;0.303
grads_x_inputs;0.143;0.227;0.289
ig_20;0.292;0.389;0.453
ig_50;0.292;0.389;0.453
ig_100;0.292;0.389;0.453
sg_20;0.173;0.246;0.301
sg_50;0.182;0.258;0.314
sg_100;0.179;0.256;0.312
sg_20_x_inputs;0.206;0.294;0.358
sg_50_x_inputs;0.208;0.297;0.362
sg_100_x_inputs;0.214;0.302;0.369
ks_100;0.112;0.184;0.245
ks_200;0.121;0.185;0.240
ks_500;0.165;0.238;0.294
random;0.053;0.116;0.173
