method;top5;top10;top15
grads;0.167;0.244;0.303
grads_x_inputs;0.160;0.250;0.316
ig_20;0.281;0.375;0.435
ig_50;0.281;0.374;0.437
ig_100;0.282;0.374;0.439
sg_20;0.168;0.244;0.301
sg_50;0.162;0.243;0.300
sg_100;0.167;0.246;0.301
sg_20_x_inputs;0.222;0.327;0.390
sg_50_x_inputs;0.231;0.335;0.400
sg_100_x_inputs;0.233;0.336;0.399
ks_100;0.098;0.172;0.231
ks_200;0.099;0.171;0.232
ks_500;0.138;0.212;0.270
random;0.055;0.116;0.177
