method;top5;top10;top15
grads;0.162;0.242;0.305
grads_x_inputs;0.143;0.227;0.295
ig_20;0.279;0.367;0.430
ig_50;0.280;0.367;0.430
ig_100;0.279;0.367;0.429
sg_20;0.178;0.252;0.303
sg_50;0.175;0.251;0.310
sg_100;0.179;0.254;0.308
sg_20_x_inputs;0.220;0.311;0.371
sg_50_x_inputs;0.220;0.311;0.374
sg_100_x_inputs;0.222;0.315;0.379
ks_100;0.106;0.177;0.233
ks_200;0.111;0.178;0.235
ks_500;0.155;0.231;0.288
random;0.052;0.120;0.178
