method;top1;top3;top5
grads;0.172;0.282;0.386
grads_x_inputs;0.143;0.259;0.366
ig_20;0.368;0.396;0.446
ig_50;0.369;0.395;0.445
ig_100;0.369;0.396;0.445
sg_20;0.131;0.250;0.359
sg_50;0.147;0.255;0.367
sg_100;0.145;0.257;0.362
sg_20_x_inputs;0.387;0.423;0.464
sg_50_x_inputs;0.408;0.438;0.472
sg_100_x_inputs;0.412;0.451;0.483
ks_100;0.319;0.384;0.444
ks_200;0.375;0.423;0.473
ks_500;0.402;0.475;0.504
relprop;0.331;0.394;0.458
random;0.063;0.195;0.330
