method;top1;top3;top5
grads;0.170;0.272;0.373
grads_x_inputs;0.127;0.246;0.356
ig_20;0.267;0.338;0.415
ig_50;0.269;0.342;0.417
ig_100;0.272;0.342;0.414
sg_20;0.122;0.249;0.359
sg_50;0.146;0.254;0.355
sg_100;0.146;0.238;0.360
sg_20_x_inputs;0.380;0.414;0.461
sg_50_x_inputs;0.399;0.429;0.473
sg_100_x_inputs;0.395;0.433;0.478
ks_100;0.293;0.368;0.438
ks_200;0.333;0.423;0.471
ks_500;0.380;0.465;0.505
relprop;0.330;0.392;0.463
random;0.062;0.200;0.328
