method;top1;top3;top5
grads;0.173;0.271;0.376
grads_x_inputs;0.163;0.263;0.366
ig_20;0.376;0.410;0.444
ig_50;0.378;0.408;0.448
ig_100;0.381;0.408;0.447
sg_20;0.136;0.252;0.365
sg_50;0.144;0.248;0.364
sg_100;0.134;0.252;0.365
sg_20_x_inputs;0.400;0.429;0.470
sg_50_x_inputs;0.420;0.442;0.482
sg_100_x_inputs;0.432;0.455;0.482
ks_100;0.337;0.378;0.437
ks_200;0.359;0.423;0.475
ks_500;0.416;0.462;0.496
relprop;0.302;0.365;0.437
random;0.071;0.200;0.333
