method;top1;top3;top5
grads;0.177;0.278;0.371
grads_x_inputs;0.122;0.244;0.353
ig_20;0.290;0.345;0.415
ig_50;0.291;0.342;0.415
ig_100;0.289;0.340;0.416
sg_20;0.133;0.241;0.360
sg_50;0.140;0.254;0.363
sg_100;0.141;0.258;0.366
sg_20_x_inputs;0.378;0.409;0.457
sg_50_x_inputs;0.387;0.413;0.462
sg_100_x_inputs;0.405;0.429;0.470
ks_100;0.332;0.373;0.438
ks_200;0.372;0.414;0.468
ks_500;0.403;0.461;0.494
relprop;0.306;0.362;0.434
random;0.057;0.203;0.333
