method;top1;top3;top5
grads;0.180;0.279;0.379
grads_x_inputs;0.167;0.267;0.372
ig_20;0.373;0.416;0.459
ig_50;0.376;0.416;0.458
ig_100;0.375;0.415;0.459
sg_20;0.153;0.252;0.362
sg_50;0.141;0.256;0.364
sg_100;0.160;0.263;0.366
sg_20_x_inputs;0.405;0.432;0.466
sg_50_x_inputs;0.415;0.449;0.477
sg_100_x_inputs;0.427;0.455;0.488
ks_100;0.344;0.388;0.438
ks_200;0.364;0.421;0.468
ks_500;0.411;0.464;0.495
relprop;0.346;0.390;0.460
random;0.073;0.193;0.329
