method;top1;top3;top5
grads;0.169;0.280;0.381
grads_x_inputs;0.213;0.301;0.393
ig_20;0.373;0.441;0.492
ig_50;0.373;0.442;0.492
ig_100;0.373;0.441;0.492
sg_20;0.114;0.237;0.361
sg_50;0.125;0.244;0.356
sg_100;0.128;0.240;0.359
sg_20_x_inputs;0.384;0.447;0.494
sg_50_x_inputs;0.431;0.466;0.506
sg_100_x_inputs;0.442;0.490;0.521
ks_100;0.306;0.382;0.456
ks_200;0.374;0.442;0.483
ks_500;0.406;0.479;0.519
relprop;0.382;0.433;0.488
random;0.056;0.190;0.330
