method;top1;top3;top5
grads;0.174;0.272;0.375
grads_x_inputs;0.128;0.257;0.365
ig_20;0.336;0.423;0.491
ig_50;0.338;0.424;0.491
ig_100;0.338;0.425;0.491
sg_20;0.125;0.242;0.352
sg_50;0.118;0.238;0.354
sg_100;0.132;0.249;0.354
sg_20_x_inputs;0.371;0.426;0.472
sg_50_x_inputs;0.398;0.453;0.498
sg_100_x_inputs;0.413;0.464;0.505
ks_100;0.303;0.396;0.456
ks_200;0.344;0.429;0.481
ks_500;0.382;0.465;0.512
relprop;0.357;0.426;0.481
random;0.058;0.193;0.332
