method;top1;top3;top5
grads;0.165;0.269;0.375
grads_x_inputs;0.169;0.281;0.382
ig_20;0.383;0.454;0.512
ig_50;0.382;0.454;0.512
ig_100;0.383;0.454;0.512
sg_20;0.111;0.233;0.357
sg_50;0.121;0.243;0.360
sg_100;0.108;0.243;0.358
sg_20_x_inputs;0.383;0.432;0.474
sg_50_x_inputs;0.403;0.443;0.481
sg_100_x_inputs;0.411;0.459;0.495
ks_100;0.277;0.390;0.454
ks_200;0.333;0.425;0.484
ks_500;0.368;0.469;0.511
relprop;0.374;0.424;0.474
random;0.066;0.194;0.334
