method;top1;top3;top5
grads;0.166;0.277;0.381
grads_x_inputs;0.233;0.333;0.416
ig_20;0.378;0.443;0.497
ig_50;0.378;0.443;0.497
ig_100;0.378;0.443;0.497
sg_20;0.122;0.245;0.360
sg_50;0.131;0.246;0.371
sg_100;0.125;0.255;0.367
sg_20_x_inputs;0.396;0.448;0.487
sg_50_x_inputs;0.429;0.475;0.510
sg_100_x_inputs;0.449;0.482;0.515
ks_100;0.323;0.397;0.462
ks_200;0.353;0.436;0.485
ks_500;0.384;0.463;0.510
relprop;0.384;0.446;0.496
random;0.061;0.194;0.335
