method;top1;top3;top5
grads;0.163;0.268;0.375
grads_x_inputs;0.239;0.326;0.409
ig_20;0.341;0.383;0.456
ig_50;0.339;0.380;0.456
ig_100;0.340;0.380;0.455
sg_20;0.135;0.240;0.355
sg_50;0.140;0.238;0.359
sg_100;0.136;0.246;0.356
sg_20_x_inputs;0.380;0.414;0.464
sg_50_x_inputs;0.414;0.446;0.477
sg_100_x_inputs;0.434;0.452;0.483
ks_100;0.331;0.398;0.468
ks_200;0.355;0.434;0.490
ks_500;0.385;0.468;0.515
relprop;0.389;0.435;0.484
random;0.064;0.195;0.327
