method;top1;top3;top5
grads;0.172;0.277;0.376
grads_x_inputs;0.178;0.297;0.388
ig_20;0.383;0.445;0.494
ig_50;0.384;0.445;0.494
ig_100;0.384;0.445;0.494
sg_20;0.118;0.246;0.365
sg_50;0.118;0.237;0.355
sg_100;0.129;0.243;0.357
sg_20_x_inputs;0.405;0.443;0.484
sg_50_x_inputs;0.429;0.471;0.503
sg_100_x_inputs;0.438;0.477;0.514
ks_100;0.322;0.390;0.453
ks_200;0.352;0.432;0.485
ks_500;0.389;0.462;0.507
relprop;0.386;0.430;0.488
random;0.065;0.197;0.335
