method;top1;top3;top5;
grads;0.166 ± 0.007;0.276 ± 0.006;0.378 ± 0.004;
grads_x_inputs;0.171 ± 0.008;0.268 ± 0.014;0.367 ± 0.015;
ig_20;0.382 ± 0.009;0.441 ± 0.029;0.491 ± 0.029;
ig_50;0.383 ± 0.008;0.441 ± 0.030;0.492 ± 0.029;
ig_100;0.383 ± 0.008;0.441 ± 0.029;0.492 ± 0.029;
sg_20;0.148 ± 0.006;0.267 ± 0.003;0.372 ± 0.003;
sg_50;0.151 ± 0.008;0.270 ± 0.006;0.377 ± 0.005;
sg_100;0.146 ± 0.005;0.274 ± 0.003;0.377 ± 0.003;
sg_20_x_inputs;0.364 ± 0.028;0.428 ± 0.025;0.483 ± 0.022;
sg_50_x_inputs;0.398 ± 0.023;0.454 ± 0.024;0.497 ± 0.022;
sg_100_x_inputs;0.406 ± 0.015;0.468 ± 0.024;0.508 ± 0.024;
ks_100;0.357 ± 0.027;0.405 ± 0.015;0.464 ± 0.011;
ks_200;0.385 ± 0.027;0.448 ± 0.019;0.491 ± 0.016;
ks_500;0.416 ± 0.025;0.478 ± 0.020;0.513 ± 0.020;
relprop;0.294 ± 0.043;0.390 ± 0.022;0.465 ± 0.015;
random;0.058 ± 0.006;0.197 ± 0.007;0.335 ± 0.004;
