method;top1;top3;top5
grads;0.165;0.283;0.382
grads_x_inputs;0.188;0.301;0.400
ig_20;0.411;0.472;0.512
ig_50;0.411;0.471;0.512
ig_100;0.411;0.471;0.512
sg_20;0.151;0.274;0.373
sg_50;0.163;0.274;0.382
sg_100;0.163;0.277;0.383
sg_20_x_inputs;0.381;0.466;0.512
sg_50_x_inputs;0.435;0.489;0.529
sg_100_x_inputs;0.425;0.492;0.535
ks_100;0.348;0.428;0.483
ks_200;0.383;0.463;0.504
ks_500;0.420;0.495;0.528
relprop;0.269;0.384;0.463
random;0.058;0.200;0.330
