method;top1;top3;top5
grads;0.177;0.285;0.385
grads_x_inputs;0.164;0.263;0.365
ig_20;0.378;0.433;0.480
ig_50;0.379;0.433;0.481
ig_100;0.379;0.433;0.481
sg_20;0.154;0.268;0.377
sg_50;0.146;0.274;0.382
sg_100;0.156;0.273;0.375
sg_20_x_inputs;0.313;0.387;0.448
sg_50_x_inputs;0.356;0.412;0.461
sg_100_x_inputs;0.379;0.424;0.470
ks_100;0.385;0.413;0.468
ks_200;0.403;0.450;0.486
ks_500;0.441;0.482;0.509
relprop;0.318;0.413;0.482
random;0.057;0.191;0.328
