method;top1;top3;top5
grads;0.168;0.285;0.381
grads_x_inputs;0.245;0.299;0.381
ig_20;0.419;0.480;0.514
ig_50;0.419;0.480;0.514
ig_100;0.419;0.480;0.514
sg_20;0.155;0.274;0.385
sg_50;0.154;0.275;0.386
sg_100;0.165;0.279;0.384
sg_20_x_inputs;0.414;0.471;0.517
sg_50_x_inputs;0.434;0.496;0.534
sg_100_x_inputs;0.439;0.506;0.539
ks_100;0.367;0.446;0.494
ks_200;0.404;0.490;0.526
ks_500;0.423;0.515;0.550
relprop;0.266;0.383;0.473
random;0.072;0.205;0.337
