method;top1;top3;top5
grads;0.162;0.275;0.375
grads_x_inputs;0.174;0.288;0.389
ig_20;0.390;0.484;0.534
ig_50;0.392;0.485;0.535
ig_100;0.392;0.484;0.535
sg_20;0.138;0.269;0.370
sg_50;0.142;0.262;0.371
sg_100;0.143;0.270;0.375
sg_20_x_inputs;0.365;0.445;0.500
sg_50_x_inputs;0.400;0.471;0.521
sg_100_x_inputs;0.406;0.488;0.533
ks_100;0.331;0.418;0.478
ks_200;0.365;0.474;0.520
ks_500;0.395;0.499;0.546
relprop;0.354;0.407;0.473
random;0.053;0.190;0.335
