method;top1;top3;top5
grads;0.161;0.276;0.375
grads_x_inputs;0.165;0.272;0.372
ig_20;0.394;0.460;0.507
ig_50;0.394;0.459;0.507
ig_100;0.394;0.459;0.507
sg_20;0.151;0.270;0.375
sg_50;0.156;0.275;0.372
sg_100;0.145;0.280;0.373
sg_20_x_inputs;0.381;0.442;0.496
sg_50_x_inputs;0.415;0.470;0.506
sg_100_x_inputs;0.420;0.486;0.518
ks_100;0.318;0.377;0.446
ks_200;0.343;0.415;0.471
ks_500;0.378;0.440;0.486
relprop;0.231;0.357;0.441
random;0.070;0.207;0.338
