method;top1;top3;top5
grads;0.147;0.280;0.385
grads_x_inputs;0.185;0.294;0.393
ig_20;0.410;0.473;0.518
ig_50;0.410;0.473;0.517
ig_100;0.409;0.473;0.517
sg_20;0.144;0.262;0.377
sg_50;0.149;0.274;0.386
sg_100;0.180;0.279;0.383
sg_20_x_inputs;0.401;0.469;0.519
sg_50_x_inputs;0.438;0.492;0.525
sg_100_x_inputs;0.446;0.503;0.543
ks_100;0.343;0.449;0.498
ks_200;0.376;0.478;0.527
ks_500;0.396;0.514;0.555
relprop;0.254;0.373;0.457
random;0.063;0.201;0.338
