method;top1;top3;top5
grads;0.156;0.283;0.386
grads_x_inputs;0.185;0.277;0.376
ig_20;0.408;0.498;0.540
ig_50;0.409;0.498;0.540
ig_100;0.409;0.498;0.541
sg_20;0.171;0.282;0.385
sg_50;0.168;0.281;0.388
sg_100;0.159;0.271;0.383
sg_20_x_inputs;0.411;0.478;0.527
sg_50_x_inputs;0.439;0.495;0.530
sg_100_x_inputs;0.444;0.504;0.540
ks_100;0.372;0.446;0.491
ks_200;0.418;0.487;0.516
ks_500;0.438;0.518;0.539
relprop;0.319;0.397;0.469
random;0.069;0.202;0.340
