method;top1;top3;top5
grads;0.154;0.284;0.383
grads_x_inputs;0.240;0.311;0.392
ig_20;0.402;0.461;0.514
ig_50;0.402;0.461;0.514
ig_100;0.402;0.461;0.514
sg_20;0.156;0.278;0.384
sg_50;0.143;0.273;0.384
sg_100;0.156;0.271;0.385
sg_20_x_inputs;0.411;0.486;0.530
sg_50_x_inputs;0.436;0.498;0.546
sg_100_x_inputs;0.447;0.511;0.547
relprop;0.305;0.396;0.481
random;0.060;0.196;0.334
