method;top1;top3;top5
grads;0.159;0.273;0.379
grads_x_inputs;0.206;0.284;0.372
ig_20;0.377;0.435;0.488
ig_50;0.377;0.436;0.489
ig_100;0.378;0.436;0.489
sg_20;0.149;0.270;0.380
sg_50;0.153;0.268;0.379
sg_100;0.135;0.273;0.378
sg_20_x_inputs;0.370;0.453;0.511
sg_50_x_inputs;0.411;0.480;0.520
sg_100_x_inputs;0.418;0.486;0.528
relprop;0.270;0.381;0.460
random;0.062;0.201;0.339
