method;top1;top3;top5
grads;0.147;0.278;0.380
grads_x_inputs;0.207;0.286;0.378
ig_20;0.407;0.448;0.501
ig_50;0.409;0.450;0.502
ig_100;0.410;0.450;0.501
sg_20;0.157;0.267;0.382
sg_50;0.135;0.272;0.381
sg_100;0.154;0.276;0.385
sg_20_x_inputs;0.410;0.467;0.515
sg_50_x_inputs;0.427;0.491;0.534
sg_100_x_inputs;0.429;0.502;0.538
relprop;0.311;0.399;0.474
random;0.060;0.193;0.332
