method;top1;top3;top5
grads;0.186;0.292;0.387
grads_x_inputs;0.270;0.335;0.417
ig_20;0.450;0.490;0.538
ig_50;0.450;0.490;0.537
ig_100;0.449;0.490;0.537
sg_20;0.164;0.276;0.388
sg_50;0.182;0.286;0.389
sg_100;0.164;0.285;0.390
sg_20_x_inputs;0.454;0.502;0.532
sg_50_x_inputs;0.453;0.507;0.541
sg_100_x_inputs;0.462;0.514;0.549
relprop;0.346;0.420;0.490
random;0.065;0.202;0.341
